Treatment,Day,Fst
Ambient,0,0
Low,0,0
Ambient,6,0.0067
Low,6,0.0062
Ambient,25,0.01
Ambient,25,0.009
Ambient,25,0.0067
Low,25,0.0072
Low,25,0.0085
Low,25,0.0072
Ambient,43,0.012
Ambient,43,0.0076
Low,43,0.008
Low,43,0.0073
Low,43,0.01
