"","D6Low_LB7","D6Low_Large_LB1","D6Low_Large_LB9","D6Low_Small_LB1","D6Low_Small_LB9"
"D6High_LB4",0.00484839859189917,0.00816853038244093,0.00927433357023093,0.00527208041279138,0.00521562838946585
"D6High_Large_LB6",0.00805794675968619,0.00563656433602477,0.00752039896826897,0.00902992752836135,0.00886981659951104
"D6High_Large_LB11",0.007200166173641,0.00566883938455571,0.00841581707701682,0.00813993002458656,0.0084888124869781
"D6High_Small_LB6",0.00465791356589056,0.00988732342445228,0.0106939322769065,0.00490717298558991,0.00484899745604623
"D6High_Small_LB11",0.00501760929834619,0.0103546948391167,0.0107877103308156,0.00497687272324568,0.00507900543901797
